id,name,totalExp,skills
bf27c368-803f-4ae1-98f1-bb679a7a189c,"Roxanne Shields",2,"{React,Tailwind,Redux}"
3618206f-f8b7-4635-9d03-ea0569c441c4,"Claudia Johns",4,"{React,Next.js,Tailwind}"
36274cb1-f1a2-48e7-9da3-1ea1079385bd,"Jordan Schneider",4,"{Redux,Next.js,React}"
01dd5705-7305-4a3f-b9ba-a147c9649e57,"Dr. Shanon Trantow",8,"{Redux,React,Tailwind}"
f84c6c7c-02ba-4550-9050-57b840726616,"Martin Gerlach",8,"{Next.js,Tailwind,React}"
2aed13a1-a7c4-4205-962d-104432bf7c2e,"Mr. Trinity Ebert DDS",4,"{Next.js,Redux,React}"
b8bb93cb-20a6-46f0-a904-72afd969cca3,"Mr. Lowell Stark DDS",13,"{Tailwind,React,Redux}"
1004c228-a121-4d39-bf59-bf94501d0db2,"Dr. Delaney Wiza II",13,"{React,Redux,Next.js}"
d0f4ac95-5138-4620-8e8a-264fb057ffaf,"Mathew Champlin",6,"{Next.js,React,Redux}"
48d4b487-4477-4fa0-96c3-3eab172cf461,"Marcos Hintz",12,"{Next.js,Tailwind,React}"
f815082b-63f3-4040-ae90-87a5b093a8ba,"Ms. Hannah Kreiger",4,"{Tailwind,Redux,Next.js}"
e118742a-1dec-4615-83c3-14fa4a131b44,"Tremaine Schmidt",2,"{Redux,Next.js,Tailwind}"
189a6ce2-993a-4495-beb1-a57fbf9b15f6,"Miss Frederik Shanahan",7,"{Next.js,Redux,Tailwind}"
d6e7315a-2c6e-47ff-a227-0332004a1b37,"Emily Roberts-O'Hara",5,"{Next.js,React,Redux}"
78e71ff3-37a3-4472-98a2-946c217a210f,"Glenda Hayes",5,"{React,Tailwind,Next.js}"
14131b9f-8c94-4e97-86e8-0742b9c80c78,"Presley Kunze",10,"{Next.js,React,Redux}"
c566757c-50b9-4221-b4bf-30ecaccc7ada,"Keanu Kutch",12,"{React,Next.js,Tailwind}"
fbe1010b-5ef9-41c4-a312-c38f988d30bb,"Jaime Hammes",2,"{React,Tailwind,Next.js}"
71a6f7a3-b598-4ef9-b0a7-0f79b16cafcb,"Jim O'Conner",5,"{React,Next.js,Tailwind}"
afbf6aaf-5618-48f5-8eab-1b533cc6cf55,"Merlin MacGyver Sr.",3,"{Redux,Next.js,React}"
175d3bed-4a40-4cba-876c-a12262b9ddeb,"Andrew Dach",1,"{React,Redux,Tailwind}"
fd3c00f0-7c54-459b-8c88-488674ade82e,"Mr. Darin Howell",15,"{Next.js,Redux,Tailwind}"
8801bd4a-9b33-424c-9e82-be005c48e5fd,"Pinkie DuBuque Sr.",6,"{React,Redux,Next.js}"
963cbfb1-1059-4abf-978c-a85f8eb41414,"Enos Jacobi I",11,"{Tailwind,Redux,Next.js}"
fc917bfe-ae64-4f7c-b074-2886d94c7b8f,"Colin Schowalter DDS",15,"{Redux,Tailwind,Next.js}"
a46601b2-5015-4970-bbd5-d626af458e1c,"Carmen Renner",4,"{Tailwind,React,Next.js}"
77847ebe-3dbc-4b0b-955f-3edad450e9df,"Wilmer Beier",14,"{Next.js,Redux,Tailwind}"
3a98759d-9e70-455f-892a-2d8358525e6d,"Ms. Marcia Pollich-Bechtelar",7,"{React,Redux,Tailwind}"
a0f0c457-f38d-4282-8681-945d2431771a,"Sarai Jakubowski",6,"{Tailwind,Redux,Next.js}"
b94e2313-d93a-44ab-8f8c-347ec1e7ae0f,"Sandra Wehner",4,"{Tailwind,Redux,Next.js}"
c7a044b7-9dd6-416c-a76c-6f0c1cbdf95b,"Miss Robyn Buckridge",3,"{Redux,Tailwind,React}"
3127035f-9829-4360-bdb5-5f15671930d9,"Ardith Crona",7,"{Tailwind,React,Next.js}"
f48ef608-01a7-4eff-b853-353eca329d51,"Amy Mann",11,"{Redux,Next.js,Tailwind}"
